,Date,Total Fuel Used (kWh per capita),Coal (kWh per capita),Oil (kWh per capita),Gas (kWh per capita),Nuclear (kWh per capita),Hydro (kWh per capita),Wind (kWh per capita),Bioenergy (kWh per capita),Solar (kWh per capita),Low Carbon (kWh per capita),Renewables (kWh per capita),Fossil Fuels (kWh per capita),UK Population,Rainfall (mm),Sunshine (hours),Temperature (C),Wind (knots)
237,2014-10-01,886.7431703001162,349.329595118331,2.818477127991056,265.8344542120482,156.90121081937474,5.547193837893226,46.71132157345687,59.618869694638846,0.0,268.7785959253637,111.87738510598894,617.9645743747525,64727862.5,157.4,82.0,11.0,9.34525234674491
238,2014-11-01,941.4449064087958,409.52745785870843,2.439906000297207,275.1891039599916,155.07755490124305,7.750289648002892,34.481612739494345,56.9789813010583,0.0,254.2884385897986,99.21088368855555,687.1564678189972,64769708.333333336,123.3,51.1,7.6,8.058522281429518
239,2014-12-01,1005.2197457333515,415.8788096746896,3.406491370848035,226.96196980823828,235.96227858805784,8.534157329071919,55.83060067800411,58.66336718639353,0.0,358.9724748795756,123.01019629151774,646.247270853776,64811554.166666664,131.4,56.7,4.4,12.508241723157173
240,2015-01-01,1054.8471784054498,436.4483280753207,3.708888045962124,226.5467654741309,260.94804590044623,9.890368122565663,60.07681941116426,56.7800300369757,0.44793333888431447,388.1252794764808,127.19515090958994,666.7039815954137,64853400.0,153.5,58.4,3.7,10.632822622303724
241,2015-02-01,975.2088832280848,406.8607629411873,2.4351126066101076,229.99280464637377,231.60427622427756,7.144190662039948,41.34319859310837,55.0765174847992,0.7341148299339296,335.8843925544045,104.29802156988146,639.3065854339256,64897204.166666664,79.9,75.6,3.5,13.186645953254184
242,2015-03-01,981.0284077048902,419.36204409104107,3.059730747944192,218.31447284015837,223.52138306034414,8.141388832249165,49.27776888794329,57.90227310144681,1.467239306031718,340.3100531880151,116.78867012767098,640.7362476791436,64941008.333333336,94.9,121.0,5.5,9.755052713371045
243,2015-04-01,825.3737440575057,298.57862558270824,2.7358084629389365,206.5624795024222,221.94022641828812,5.847120048242041,29.664746666769254,57.201642306808225,2.860976170393659,317.5147116105013,95.57448519221317,507.8769135480694,64984812.5,45.5,211.8,7.9,8.199778779449245
244,2015-05-01,771.478628511499,209.96140929749646,2.4301916310178315,222.27318895757946,225.66830961856022,6.236300582538406,46.06642665267624,55.9480146817414,2.8947870898888874,336.8138386254052,111.14552900684494,434.64692082998334,65028616.666666664,109.9,173.8,9.5,7.483546006091876
245,2015-06-01,735.8702409834274,178.71312994156955,2.7499822153279094,242.24843333206763,217.67716366783907,4.732112253648675,30.46408869707411,56.07106594889373,3.2142649270066466,312.1586954944622,94.48153182662317,423.7115454889651,65072420.833333336,56.2,188.7,12.7,6.175870928389384
246,2015-07-01,744.9936786108224,176.30874639922692,3.0693425486505093,241.37167042469062,226.07849272589127,5.121519252690094,33.031122427628446,57.121892431571396,2.908737415290889,324.2617642530721,98.18327152718082,420.7319143577503,65116225.0,107.6,160.8,14.4,6.879934182880586
